"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"percent.mt"	"percent.rp"	"S.Score"	"G2M.Score"	"Phase"	"RNA_snn_res.0.1"	"RNA_snn_res.0.15"	"RNA_snn_res.0.25"	"RNA_snn_res.0.75"	"seurat_clusters"	"pANN_0.25_0.09_142"	"DF.classifications_0.25_0.09_142"	"hpca.main"	"hpca.fine"	"dice.main"	"dice.fine"	"monaco.main"	"monaco.fine"	"northern.main"	"northern.fine"	"blue.main"	"blue.fine"	"seurat_clusters_gabby_annotation"	"UMAP_1"	"UMAP_2"	"tSNE_1"	"tSNE_2"
"X1001000173.G1"	"SeuratProject"	920954	2435	0	1.67576230734651	-0.0252523564045476	0.0106744847464721	"G2M"	"2"	"1"	"1"	"4"	"4"	0.223529411764706	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD4+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	-0.741646673048495	-9.35073220428181	13.7041585704155	13.7041585704155
"X1001000173.B3"	"SeuratProject"	1295164	6389	0	2.2905979474414	0.0306798699821033	-0.0568452208736632	"S"	"2"	"1"	"1"	"4"	"4"	0.275294117647059	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	-0.317081566418169	-10.5090001791353	13.9780247612164	13.9780247612164
"X1001000173.D7"	"SeuratProject"	1149579	4932	0	2.63235497516917	0.0010511123146882	-0.0535452752583964	"S"	"2"	"1"	"1"	"4"	"4"	0.268235294117647	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Hematopoietic stem cells_CD38- CD34+"	"Mesangial cells"	"Fibroblasts"	"Tumor"	1.23608617905283	-9.1750868528719	6.10705151105961	6.10705151105961
"X1001000173.C1"	"SeuratProject"	1223584	4698	0	4.14552658419855	-0.0193373252782161	-0.033318926816673	"G1"	"2"	"1"	"1"	"4"	"4"	0.256470588235294	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	NA	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Fibroblasts"	"Astrocytes"	"Tumor"	1.25713067177439	-9.14813124831868	12.0985672360821	12.0985672360821
"X1001000173.A3"	"SeuratProject"	1332084	4728	0	2.34414646523793	-0.0144546731842581	-0.0227715169284552	"G1"	"2"	"1"	"1"	"4"	"4"	0.230588235294118	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Naive CD8+ T cells"	"Astrocytes"	"Fibroblasts"	"Tumor"	-0.321342687572001	-9.33284365829182	9.9031875402687	9.9031875402687
"X1001000173.E1"	"SeuratProject"	1955923	8402	0	2.72157953048254	0.0423524513772927	-0.0494751488515968	"S"	"2"	"1"	"1"	"4"	"4"	0.282352941176471	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	0.652705599104406	-10.0577400892611	10.0142628017022	10.0142628017022
"X1001000173.G12"	"SeuratProject"	1330754	7223	0	6.36330982285231	0.156683483842027	-0.0632258081045189	"S"	"2"	"1"	"1"	"4"	"4"	0.256470588235294	"Singlet"	"Tissue_stem_cells"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD4+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	4.55620246056223	1.19913709465313	4.84159363845486	4.84159363845486
"X1001000173.D11"	"SeuratProject"	1383133	2652	0	1.24593947219826	0.00900507553123979	-0.0339945908735125	"S"	"1"	"0"	"0"	"6"	"6"	0.230588235294118	"Singlet"	"Macrophage"	"Macrophage:monocyte-derived:IL-4/Dex/TGFb"	"Monocytes"	"Monocytes, CD14+"	"Monocytes"	"Intermediate monocytes"	"Monocytes"	"Monocytes"	"Monocytes"	"Monocytes"	"Tumor"	6.20672421578074	6.36438429657268	-26.8053605486039	-26.8053605486039
"X1001000173.G4"	"SeuratProject"	1320952	4578	0	3.45137446326589	-0.00303472663953781	-0.0199063281547592	"G1"	"2"	"1"	"1"	"4"	"4"	0.223529411764706	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD4+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Erythroid_CD34+ CD71+ GlyA-"	"Astrocytes"	"Astrocytes"	"Tumor"	0.32451712015772	-10.067216274106	11.5176493235448	11.5176493235448
"X1001000173.B11"	"SeuratProject"	1670700	5191	0	4.32806608008619	0.0160193840237143	-0.0665052221061298	"S"	"2"	"1"	"1"	"4"	"4"	0.244705882352941	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Erythroid_CD34+ CD71+ GlyA-"	"Astrocytes"	"Fibroblasts"	"Tumor"	1.27988712910319	-9.11511218246174	9.07774672690522	9.07774672690522
