"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"percent.mt"	"percent.rp"	"S.Score"	"G2M.Score"	"Phase"	"RNA_snn_res.0.1"	"RNA_snn_res.0.15"	"RNA_snn_res.0.25"	"RNA_snn_res.0.75"	"seurat_clusters"	"pANN_0.25_0.09_142"	"DF.classifications_0.25_0.09_142"	"hpca.main"	"hpca.fine"	"dice.main"	"dice.fine"	"monaco.main"	"monaco.fine"	"northern.main"	"northern.fine"	"blue.main"	"blue.fine"	"seurat_clusters_gabby_annotation"	"UMAP_1"	"UMAP_2"	"tSNE_1"	"tSNE_2"
"X1001000173.B8"	"SeuratProject"	1599155	4086	0	1.1860638899919	0.0456004494004969	-0.0442333841172094	"S"	"2"	"1"	"1"	"3"	"3"	0.242352941176471	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD4+, Th2"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-4.2469708430419	-10.7712739675875	28.3319637035183	28.3319637035183
"X1001000173.F9"	"SeuratProject"	1549808	5209	0	1.88997604864603	0.479535081634979	-0.00568043291755121	"S"	"2"	"1"	"1"	"3"	"3"	0.230588235294118	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Naive CD8+ T cells"	"Neurons"	"Neurons"	"Myeloid"	-4.63706822272634	-10.0550259321566	28.2821479759918	28.2821479759918
"X1001000173.G6"	"SeuratProject"	605954	1862	0	0.281209464744849	0.00121454846902821	-0.0010745606015334	"S"	"2"	"1"	"1"	"3"	"3"	0.235294117647059	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"Monocytes, CD16+"	"Progenitors"	NA	NA	"Erythroid_CD34+ CD71+ GlyA-"	"Astrocytes"	"Astrocytes"	"Myeloid"	-2.21049566146231	-9.22510325607014	18.2577462979534	18.2577462979534
"X1001000173.D2"	"SeuratProject"	1006490	4952	0	1.28694770936621	0.0318797302323141	-0.0227597295170191	"S"	"2"	"1"	"1"	"3"	"3"	0.254117647058824	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Erythroid_CD34+ CD71+ GlyA-"	"Neurons"	"Neurons"	"Myeloid"	-3.43006772872305	-11.0579227178926	23.3008444665594	23.3008444665594
"X1001000173.A12"	"SeuratProject"	1273551	3812	0	1.30917411238341	-0.0560462431956215	-0.0277801016998291	"G1"	"2"	"1"	"1"	"3"	"3"	0.237647058823529	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-4.37204785224294	-10.7308963507051	28.2516511275462	28.2516511275462
"X1001000173.H7"	"SeuratProject"	1105004	3935	0	1.2850632214906	0.0277087981047857	-0.0224730533498081	"S"	"2"	"1"	"1"	"3"	"3"	0.214117647058824	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	NA	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Erythroid_CD34- CD71lo GlyA+"	"Adipocytes"	"Neurons"	"Myeloid"	-3.50469608184194	-10.6127103536959	27.1444334266377	27.1444334266377
"X1001000173.H5"	"SeuratProject"	1081237	3600	0	0.928936024201909	0.0787347958945976	-0.052628834158828	"S"	"2"	"1"	"1"	"3"	"3"	0.251764705882353	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive"	"Progenitors"	"Th2 cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-4.13959474440908	-10.8223727911348	28.4585756658222	28.4585756658222
"X1001000173.G2"	"SeuratProject"	1151034	4713	0	0.802756478088397	0.0631677822513711	0.0113554567686914	"S"	"1"	"0"	"0"	"0"	"0"	0.228235294117647	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Myeloid"	-3.16799683448171	-10.3242477148409	26.018403274214	26.018403274214
"X1001000173.D3"	"SeuratProject"	1034727	3908	0	1.21181722328692	0.01325982512765	0.0027093758927843	"S"	"2"	"1"	"1"	"3"	"3"	0.216470588235294	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"B cells"	"B cells, naive"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-4.34608740683889	-10.5714620321627	28.1563821235954	28.1563821235954
"X1001000173.C10"	"SeuratProject"	1053887	3190	0	1.0417625419044	-0.0133362004928755	-0.0591019544425577	"G1"	"2"	"1"	"1"	"3"	"3"	0.221176470588235	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-3.70029444571829	-10.5387614935274	26.2714748665897	26.2714748665897
"X1001000173.C3"	"SeuratProject"	1038236	1594	0	0.551030786834593	0.00415232320882321	0.00521867087408324	"G2M"	"2"	"1"	"1"	"3"	"3"	0.167058823529412	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	NA	"Progenitors"	"Progenitor cells"	"Dendritic cells"	"CD4+ Effector Memory"	"Fibroblasts"	"Melanocytes"	"Myeloid"	-2.42415470954275	-8.62303960021687	19.7298130855045	19.7298130855045
"X1001000173.A5"	"SeuratProject"	1422843	5204	0	1.00341358814711	0.201661183136212	-0.0396570015823807	"S"	"2"	"1"	"1"	"3"	"3"	0.235294117647059	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD4+"	"T cells, CD4+, Th17"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD133+ CD34dim"	"Neurons"	"Neurons"	"Myeloid"	-3.80554695006704	-10.7374461859102	25.789064300157	25.789064300157
"X1001000173.G9"	"SeuratProject"	1075089	4228	0	1.32714593861531	-0.038085186523362	-0.00427693796415413	"G1"	"2"	"1"	"1"	"3"	"3"	0.249411764705882	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-4.13782138701773	-10.8543742864962	27.4189559134066	27.4189559134066
"X1001000173.F1"	"SeuratProject"	1113956	3162	0	1.16297232565739	0.0151194559924852	-0.0529046401797386	"S"	"2"	"1"	"1"	"3"	"3"	0.214117647058824	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"NK cells"	"T cells, CD4+, Th17"	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Fibroblasts"	"Myeloid"	-3.28303713675833	-10.3928464620943	26.2728429069082	26.2728429069082
"X1001000173.E12"	"SeuratProject"	1041211	3995	0	1.49796727080294	-0.00207932721287787	-0.0302980462765289	"G1"	"2"	"1"	"1"	"3"	"3"	0.214117647058824	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Naive CD8 T cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Myeloid"	-1.51820952769613	-9.65706908401203	21.4309352903886	21.4309352903886
"X1001000173.F11"	"SeuratProject"	1632163	5244	0	3.28233148282371	-0.028985263145943	-0.077432325930805	"G1"	"2"	"1"	"1"	"3"	"3"	0.249411764705882	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Myeloid"	-1.47564257260656	-8.62352358993244	16.5903339857144	16.5903339857144
"X1001000173.G10"	"SeuratProject"	1000954	3179	0	2.2470563082819	0.0563232689119555	0.00784083751603497	"S"	"2"	"1"	"1"	"3"	"3"	0.190588235294118	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-4.80091042395925	-9.40576111968708	26.8152795252314	26.8152795252314
"X1001000173.F8"	"SeuratProject"	1193455	2549	0	2.11796841942092	-0.00974601321771653	-0.0103534185334405	"G1"	"0"	"3"	"2"	"2"	"2"	0.117647058823529	"Singlet"	"Macrophage"	"Macrophage:monocyte-derived:IL-4/Dex/TGFb"	"Monocytes"	"Monocytes, CD14+"	"Monocytes"	"Intermediate monocytes"	"Monocytes"	"Monocytes"	"Macrophages"	"Macrophages"	"Myeloid"	6.03389506462717	0.38002598587322	-1.90781117089763	-1.90781117089763
