"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"percent.mt"	"percent.rp"	"S.Score"	"G2M.Score"	"Phase"	"RNA_snn_res.0.1"	"RNA_snn_res.0.15"	"RNA_snn_res.0.25"	"RNA_snn_res.0.75"	"seurat_clusters"	"pANN_0.25_0.09_142"	"DF.classifications_0.25_0.09_142"	"hpca.main"	"hpca.fine"	"dice.main"	"dice.fine"	"monaco.main"	"monaco.fine"	"northern.main"	"northern.fine"	"blue.main"	"blue.fine"	"seurat_clusters_gabby_annotation"	"UMAP_1"	"UMAP_2"	"tSNE_1"	"tSNE_2"
"X1001000173.C2"	"SeuratProject"	1259838	4727	0	1.15816477991615	-0.0285402059176719	-0.0354412986806317	"G1"	"2"	"1"	"1"	"3"	"3"	0.232941176470588	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Fibroblasts"	"Myeloid"	-3.82360167380667	-10.9027932852144	26.0674799539925	26.0674799539925
"X1001000173.F4"	"SeuratProject"	1414398	5030	0	1.77312185113384	0.0550640190621919	-0.0641306944574588	"S"	"2"	"1"	"1"	"3"	"3"	0.235294117647059	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Myeloid"	-1.81743652697897	-9.87503325637532	22.5564019622099	22.5564019622099
"X1001000173.E10"	"SeuratProject"	966628	3904	0	2.26778036638707	-0.0921849477121186	-0.0397832241847189	"G1"	"2"	"1"	"1"	"3"	"3"	0.218823529411765	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Erythroid_CD34- CD71lo GlyA+"	"Fibroblasts"	"Astrocytes"	"Myeloid"	-3.62193388816213	-10.7574924200411	27.0000520042836	27.0000520042836
"X1001000173.E6"	"SeuratProject"	1751432	3054	0	1.16436150532821	0.00921857501603307	-0.0557793610699921	"S"	"2"	"1"	"1"	"3"	"3"	0.244705882352941	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive"	"Progenitors"	"Naive CD8 T cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-4.33855528708792	-10.6875890463228	28.284271671713	28.284271671713
"X1001000173.C4"	"SeuratProject"	972750	2103	0	0.736674376766898	0.0095281040539202	0.0361939013611288	"G2M"	"2"	"1"	"1"	"4"	"4"	0.141176470588235	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"Monocytes"	NA	NA	"Progenitor cells"	NA	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	0.270997751986028	-8.38125645812702	11.5551462749034	11.5551462749034
"X1001000173.B1"	"SeuratProject"	1305244	5312	0	2.75887113826993	-0.0516846083716782	-0.0175259648693012	"G1"	"1"	"0"	"0"	"0"	"0"	0.327058823529412	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Naive CD8 T cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Myocytes"	"Myeloid"	-0.191456626618861	16.4502941400175	-11.3634865551007	-11.3634865551007
"X1001000173.B10"	"SeuratProject"	590924	2768	0	1.60832865140018	-0.0544030343035139	-0.0319884126954046	"G1"	"2"	"1"	"1"	"3"	"3"	0.209411764705882	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Fibroblasts"	"Neurons"	"Myeloid"	-2.93089146491384	-9.7278622358675	23.8977370972597	23.8977370972597
"X1001000173.A7"	"SeuratProject"	886441	1520	0	0.579395583011165	0.141059411776807	-0.00884927755426674	"S"	"2"	"1"	"1"	"3"	"3"	0.209411764705882	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"NK cells"	NA	"Progenitors"	"Progenitor cells"	"CMPs"	"Hematopoietic stem cells_CD38- CD34+"	"Fibroblasts"	"Fibroblasts"	"Myeloid"	-2.98116488334036	-9.12867057021809	23.0919928768789	23.0919928768789
"X1001000173.B8"	"SeuratProject"	1599155	4086	0	1.1860638899919	0.0456004494004969	-0.0442333841172094	"S"	"2"	"1"	"1"	"3"	"3"	0.242352941176471	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD4+, Th2"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-4.2469708430419	-10.7712739675875	28.3319637035183	28.3319637035183
"X1001000173.F9"	"SeuratProject"	1549808	5209	0	1.88997604864603	0.479535081634979	-0.00568043291755121	"S"	"2"	"1"	"1"	"3"	"3"	0.230588235294118	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Naive CD8+ T cells"	"Neurons"	"Neurons"	"Myeloid"	-4.63706822272634	-10.0550259321566	28.2821479759918	28.2821479759918
